geoid,district_name,county,graduation_rate_pct,ela_proficiency_pct,math_proficiency_pct,chronic_absenteeism_pct,pupil_expenditure,source_year
2600005,Battle Creek Public Schools,Calhoun,64,19,8,,16140,2020-21
2600006,Bessemer Area School District,Gogebic,95,37,27,,14483,2020-21
2600007,Harbor Beach Community Schools,Huron,95,46,30,,12501,2020-21
2600012,St. Ignace Area Schools,Mackinac,95,42,32,,12158,2020-21
2600013,Marquette Area Public Schools,Marquette,86,55,45,,11366,2020-21
2600014,Ewen-Trout Creek Consolidated Schools,Ontonagon,90,42,27,,16258,2020-21
2600015,Wayne-Westland Community School District,Wayne,79,27,11,,15519,2020-21
2600016,Crestwood School District,Wayne,92,43,32,,12106,2020-21
2600017,Bad Axe Public Schools,Huron,77,41,33,,11489,2020-21
2600018,L'Anse Area Schools,Baraga,84,36,31,,12606,2020-21
2600019,Superior Central Schools,Alger,95,47,32,,12693,2020-21
2601103,Detroit Public Schools Community District,Wayne,72,24,10,,17246,2020-21
2601890,Adams Township School District,Houghton,84,43,41,,10450,2020-21
2601920,Addison Community Schools,Lenawee,84,40,22,,11644,2020-21
2601950,Adrian City School District,Lenawee,82,35,25,,13109,2020-21
2601980,Airport Community School District,Monroe,86,46,38,,11648,2020-21
2602010,Akron-Fairgrove Schools,Tuscola,69,37,22,,12976,2020-21
2602040,Alba Public Schools,Antrim,75,24,LE10,,12766,2020-21
2602160,Alcona Community Schools,Alcona,95,36,24,,13750,2020-21
2602190,Algonac Community School District,St. Clair,82,40,30,,11170,2020-21
2602220,Allegan Public Schools,Allegan,79,37,26,,11795,2020-21
2602520,Allen Park Public Schools,Wayne,89,46,24,,11388,2020-21
2602550,Allendale Public School District,Ottawa,97,61,47,,11646,2020-21
2602640,Alma Public Schools,Gratiot,87,44,28,,11708,2020-21
2602670,Almont Community Schools,Lapeer,97,59,44,,10907,2020-21
2602730,Alpena Public Schools,Alpena,83,38,26,,11325,2020-21
2602790,Anchor Bay School District,St. Clair,93,54,44,,12234,2020-21
2602820,Ann Arbor Public Schools,Washtenaw,91,81,71,,15265,2020-21
2603240,Armada Area Schools,Macomb,97,62,53,,11426,2020-21
2603480,Ashley Community Schools,Gratiot,69,37,27,,11696,2020-21
2603510,Athens Area Schools,Calhoun,95,46,23,,12576,2020-21
2603540,Atherton Community Schools,Genesee,67,23,13,,11789,2020-21
2603570,Atlanta Community Schools,Montmorency,90,37,22,,12476,2020-21
2603600,Au Gres-Sims School District,Arenac,74,47,32,,11970,2020-21
2603690,Avondale School District,Oakland,74,48,34,,13004,2020-21
2603810,Baldwin Community Schools,Lake,69,17,8,,19670,2020-21
2603870,Bangor Public Schools,Van Buren,52,26,14,,12063,2020-21
2603900,Bangor Township Schools,Bay,87,46,26,,10394,2020-21
2603990,Baraga Area Schools,Baraga,90,37,17,,14200,2020-21
2604020,Bark River-Harris School District,Menominee,95,50,44,,11329,2020-21
2604170,Bath Community Schools,Clinton,92,47,25,,10700,2020-21
2604260,Bay City School District,Bay,83,40,27,,11840,2020-21
2604290,Beal City Public Schools,Isabella,95,50,40,,10527,2020-21
2604320,Bear Lake School District,Manistee,90,32,22,,10378,2020-21
2604350,Beaver Island Community School,Charlevoix,,50,50,,37429,2020-21
2604440,Beaverton Rural Schools,Gladwin,87,37,24,,11517,2020-21
2604470,Bedford Public Schools,Monroe,97,53,33,,10447,2020-21
2604500,Beecher Community School District,Genesee,74,8,LE5,,14863,2020-21
2604530,Belding Area School District,Ionia,97,31,23,,11600,2020-21
2604620,Bellaire Public Schools,Antrim,95,42,22,,16564,2020-21
2604650,Bellevue Community Schools,Eaton,84,30,14,,10800,2020-21
2604740,Bendle Public Schools,Genesee,72,29,6,,12993,2020-21
2604800,Bentley Community Schools,Genesee,72,27,10,,11005,2020-21
2604830,Benton Harbor Area Schools,Berrien,57,3,LE1,,14276,2020-21
2604950,Benzie County Central School,Benzie,82,44,33,,10762,2020-21
2605010,Berkley School District,Oakland,97,62,47,,15978,2020-21
2605430,Berrien Springs Public Schools,Berrien,38,41,21,,11842,2020-21
2605690,Big Bay de Noc School District,Delta,24,42,22,,14705,2020-21
2605780,Big Rapids Public Schools,Mecosta,69,52,36,,11639,2020-21
2605820,Birch Run Area School District,Saginaw,87,44,33,,10755,2020-21
2605850,Birmingham City School District,Oakland,97,71,58,,18145,2020-21
2606000,Blissfield Community Schools,Lenawee,92,42,30,,11056,2020-21
2606090,Bloomfield Hills School District,Oakland,96,74,65,,19782,2020-21
2606270,Bloomingdale Public School District,Van Buren,77,25,13,,11666,2020-21
2606500,Boyne City Public Schools,Charlevoix,82,54,39,,12483,2020-21
2606510,Boyne Falls Public School District,Charlevoix,24,42,37,,16029,2020-21
2606570,Brandon School District,Oakland,84,48,35,,11369,2020-21
2606600,Brandywine Community Schools,Berrien,72,38,25,,11163,2020-21
2606630,Breckenridge Community Schools,Gratiot,95,42,29,,12508,2020-21
2606720,Breitung Township Schools,Dickinson,97,55,39,,10665,2020-21
2606780,Bridgeport-Spaulding Community School District,Saginaw,72,17,7,,10810,2020-21
2606840,Bridgman Public Schools,Berrien,95,69,60,,17225,2020-21
2606870,Brighton Area Schools,Livingston,95,69,59,,14284,2020-21
2606900,Brimley Area Schools,Chippewa,95,44,23,,12046,2020-21
2606930,Britton Deerfield School District,Lenawee,95,47,23,,12031,2020-21
2606960,Bronson Community School District,Branch,92,38,26,,10197,2020-21
2606990,Columbia School District,Jackson,82,51,30,,10499,2020-21
2607040,Brown City Community School District,Sanilac,92,39,25,,12474,2020-21
2607080,Flat Rock Community Schools,Wayne,77,37,26,,10786,2020-21
2607140,Buchanan Community School District,Berrien,82,56,40,,11702,2020-21
2607170,Buckley Community School District,Wexford,69,39,33,,10524,2020-21
2607320,Bullock Creek School District,Midland,92,55,37,,11912,2020-21
2607410,Burr Oak Community School District,St. Joseph,90,32,LE5,,9558,2020-21
2607470,Burt Township School District,Alger,,30,30,,30667,2020-21
2607530,Byron Area Schools,Shiawassee,87,46,31,,10953,2020-21
2607560,Byron Center Public Schools,Kent,96,73,69,,11086,2020-21
2607590,Cadillac Area Public Schools,Wexford,73,53,45,,10602,2020-21
2607620,Caledonia Community Schools,Kent,94,68,58,,11914,2020-21
2607690,Calumet Public Schools,Houghton,67,54,37,,,2020-21
2607710,Camden-Frontier School District,Hillsdale,95,40,22,,11869,2020-21
