geoid,district_name,county,graduation_rate_pct,ela_proficiency_pct,math_proficiency_pct,chronic_absenteeism_pct,pupil_expenditure,source_year
3600001,Dolgeville Central School District,Herkimer,87,,,,19315,2019-20
3600002,Sauquoit Valley Central School District,Oneida,97,,,,20063,2019-20
3600003,Edwards-Knox Central School District,St. Lawrence,74,,,,24276,2019-20
3600004,Rotterdam-Mohonasen Central School District,Schenectady,87,,,,17271,2019-20
3600005,Broadalbin-Perth Central School District,Fulton,87,,,,18532,2019-20
3600006,Cherry Valley-Springfield Central School District,Otsego,74,,,,24630,2019-20
3600007,Jasper-Troupsburg Central School District,Steuben,95,,,,30997,2019-20
3600008,South Country Central School District,Suffolk,83,,,,31038,2019-20
3600009,Saranac Central School District,Clinton,87,,,,20505,2019-20
3600010,Cobleskill-Richmondville Central School District,Schoharie,87,,,,24645,2019-20
3600011,Wayland-Cohocton Central School District,Steuben,92,,,,20515,2019-20
3600012,Bolivar-Richburg Central School District,Allegany,95,,,,23252,2019-20
3600013,Oneida City School District,Madison,82,,,,23466,2019-20
3600014,Waterloo Central School District,Seneca,82,,,,22434,2019-20
3600015,Allegany-Limestone Central School District,Cattaraugus,92,,,,18726,2019-20
3600016,Averill Park Central School District,Rensselaer,95,,,,21649,2019-20
3600017,Genesee Valley Central School District,Allegany,95,,,,24993,2019-20
3600018,Chautauqua Lake Central School District,Chautauqua,82,,,,24447,2019-20
3600019,Unadilla Valley Central School District,Chenango,82,,,,22760,2019-20
3600020,Campbell-Savona Central School District,Steuben,92,,,,23128,2019-20
3600021,Mattituck-Cutchogue Union Free School District,Suffolk,92,,,,36905,2019-20
3600023,Sullivan West Central School District,Sullivan,87,,,,28413,2019-20
3600024,Cattaraugus-Little Valley Central School District,Cattaraugus,92,,,,23650,2019-20
3600124,Canisteo-Greenwood CSD,Steuben,97,,,,23414,2019-20
3600125,Eastport-South Manor CSD,Suffolk,95,,,,29537,2019-20
3601087,Central Valley CSD At Ilion-Mohawk,Herkimer,82,,,,19128,2019-20
3601107,Oppenheim-Ephratah-St. Johnsville CSD,Montgomery,72,,,,19545,2019-20
3601189,Boquet Valley CSD,Essex,,,,,33799,2019-20
3602310,Glens Falls Common School District,Warren,,,,,19854,2019-20
3602340,South Jefferson Central School District,Jefferson,82,,,,16526,2019-20
3602370,Addison Central School District,Steuben,82,,,,25245,2019-20
3602400,Afton Central School District,Chenango,84,,,,28909,2019-20
3602430,Akron Central School District,Erie,97,,,,20311,2019-20
3602460,Albany City School District,Albany,68,,,,24039,2019-20
3602520,Albion Central School District,Orleans,87,,,,17466,2019-20
3602550,Alden Central School District,Erie,92,,,,19414,2019-20
3602580,Alexander Central School District,Genesee,87,,,,21123,2019-20
3602670,Alexandria Central School District,Jefferson,95,,,,25776,2019-20
3602700,Alfred-Almond Central School District,Allegany,95,,,,21423,2019-20
3602730,Windsor Central School District,Broome,92,,,,22195,2019-20
3602820,Altmar-Parish-Williamstown Central School District,Oswego,82,,,,24532,2019-20
3602880,Amagansett Union Free School District,Suffolk,,,,,62888,2019-20
3602920,Amherst Central School District,Erie,90,,,,18402,2019-20
3602940,Amityville Union Free School District,Suffolk,77,,,,30491,2019-20
3602970,Amsterdam City School District,Montgomery,71,,,,17704,2019-20
3603000,Andes Central School District,Delaware,75,,,,50333,2019-20
3603030,Andover Central School District,Allegany,90,,,,29154,2019-20
3603060,Schenevus Central School District,Otsego,10,,,,27199,2019-20
